2026-09-02 14:07:55 | DEBUG   | steamreq | logging inicializado | arquivo=C:\Users\z004kree\OneDrive - Siemens Energy\Área de Trabalho\MBA DSA\steam-req-pipeline\data/logs\run_20260902_140755.log
2026-09-02 14:07:55 | INFO    | steamreq.cli | ==============================================================================
2026-09-02 14:07:55 | INFO    | steamreq.cli | steam-req-pipeline v0.1.0 | scraper=0.1.0 | filter_version=1.1.0
2026-09-02 14:07:55 | INFO    | steamreq.cli | log persistente: C:\Users\z004kree\OneDrive - Siemens Energy\Área de Trabalho\MBA DSA\steam-req-pipeline\data/logs\run_20260902_140755.log
2026-09-02 14:07:55 | INFO    | steamreq.cli | ==============================================================================
2026-09-02 14:50:59 | INFO    | steamreq.export | [FILTER]    entrada 46,909 registros (a partir de data/raw)
2026-09-02 14:50:59 | INFO    | steamreq.export | [FILTER]      NOT_GAME               -> -1       (46,908 restantes)
2026-09-02 14:50:59 | INFO    | steamreq.export | [FILTER]      UNRELEASED             -> -17,368  (29,540 restantes)
2026-09-02 14:50:59 | INFO    | steamreq.export | [FILTER]      BEFORE_2005            -> -14      (29,526 restantes)
2026-09-02 14:50:59 | INFO    | steamreq.export | [FILTER]      NO_3D_EVIDENCE         -> -12      (29,514 restantes)
2026-09-02 14:50:59 | INFO    | steamreq.export | [FILTER]      TWO_DIMENSIONAL        -> -3,446   (26,068 restantes)
2026-09-02 14:50:59 | INFO    | steamreq.export | [FILTER]      NO_DATA                -> -7       (26,061 restantes)
2026-09-02 14:50:59 | INFO    | steamreq.export | [FILTER]    conflitos 3D+2D preservados: 3,530 (needs_manual_review=true)
2026-09-02 14:50:59 | INFO    | steamreq.export | [FILTER]    marcados para revisao manual: 5,268
2026-09-02 14:50:59 | INFO    | steamreq.export | [FILTER]    incluidos SEM requisitos recomendados: 5,475 (21.0%)
2026-09-02 14:50:59 | INFO    | steamreq.export | [FILTER]    saida 26,061 registros incluidos
2026-09-02 14:51:00 | INFO    | steamreq.export | [FILTER]    ledger de exclusoes -> C:\Users\z004kree\OneDrive - Siemens Energy\Área de Trabalho\MBA DSA\steam-req-pipeline\data/processed/ledger_exclusions.json (20,848 registros)
